Files already downloaded and verified
Files already downloaded and verified
[(0, 3), (1, 3), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  57, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.256, TAw acc= 90.6% | *
| Epoch  58, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.263, TAw acc= 90.3% |
| Epoch  59, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.256, TAw acc= 90.7% | *
| Epoch  60, time= 10.3s | Train: skip eval | Valid: time=  6.0s loss=0.255, TAw acc= 90.2% | *
| Epoch  61, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.262, TAw acc= 89.9% |
| Epoch  62, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.265, TAw acc= 90.1% |
| Epoch  63, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.263, TAw acc= 90.6% |
| Epoch  64, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.264, TAw acc= 90.4% |
| Epoch  65, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.267, TAw acc= 90.3% | lr=3.7e-03
| Epoch  66, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.259, TAw acc= 90.4% |
| Epoch  67, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.257, TAw acc= 90.6% |
| Epoch  68, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.256, TAw acc= 90.5% |
| Epoch  69, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.257, TAw acc= 90.6% |
| Epoch  70, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.254, TAw acc= 90.7% | *
| Epoch  71, time= 10.5s | Train: skip eval | Valid: time=  6.1s loss=0.256, TAw acc= 90.5% |
| Epoch  72, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.259, TAw acc= 90.4% |
| Epoch  73, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.262, TAw acc= 90.1% |
| Epoch  74, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.263, TAw acc= 90.6% |
| Epoch  75, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.257, TAw acc= 90.5% | lr=1.2e-03
| Epoch  76, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.256, TAw acc= 90.6% |
| Epoch  77, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.259, TAw acc= 90.9% |
| Epoch  78, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.262, TAw acc= 90.4% |
| Epoch  79, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.257, TAw acc= 90.3% |
| Epoch  80, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.258, TAw acc= 90.4% | lr=4.1e-04
| Epoch  81, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.254, TAw acc= 91.2% | *
| Epoch  82, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.258, TAw acc= 90.5% |
| Epoch  83, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.256, TAw acc= 91.0% |
| Epoch  84, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.257, TAw acc= 90.7% |
| Epoch  85, time= 10.4s | Train: skip eval | Valid: time=  6.0s loss=0.255, TAw acc= 90.9% |
