Files already downloaded and verified
Files already downloaded and verified
[(0, 17), (1, 17), (2, 17), (3, 17), (4, 16), (5, 16)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=1.346, TAw acc= 58.1% | lr=4.1e-04
| Epoch  57, time=  8.6s | Train: skip eval | Valid: time=  6.0s loss=1.334, TAw acc= 58.4% |
| Epoch  58, time=  8.6s | Train: skip eval | Valid: time=  6.0s loss=1.346, TAw acc= 58.1% |
| Epoch  59, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=1.350, TAw acc= 57.6% |
| Epoch  60, time=  8.6s | Train: skip eval | Valid: time=  6.0s loss=1.347, TAw acc= 56.9% |
| Epoch  61, time=  8.5s | Train: skip eval | Valid: time=  6.2s loss=1.336, TAw acc= 58.8% | lr=1.4e-04
| Epoch  62, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 58.1% |
| Epoch  63, time=  8.5s | Train: skip eval | Valid: time=  6.1s loss=1.357, TAw acc= 58.5% |
| Epoch  64, time=  8.6s | Train: skip eval | Valid: time=  6.0s loss=1.342, TAw acc= 58.4% |
| Epoch  65, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=1.348, TAw acc= 57.6% |
| Epoch  66, time=  8.5s | Train: skip eval | Valid: time=  6.2s loss=1.341, TAw acc= 57.5% | lr=4.6e-05
| Selected 1700 train exemplars, time=  0.1s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.353 | TAw acc= 55.0%, forg=  0.0%| TAg acc= 55.0%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=51.508, TAw acc=  5.8% | *
| Epoch   2, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=26.504, TAw acc=  8.7% | *
| Epoch   3, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=315.123, TAw acc=  8.6% |
| Epoch   4, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=19.191, TAw acc= 16.2% | *
| Epoch   5, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=13.581, TAw acc= 36.5% | *
| Epoch   6, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=17.632, TAw acc= 26.6% |
| Epoch   7, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=12.630, TAw acc= 38.9% | *
| Epoch   8, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=17.107, TAw acc= 27.6% |
| Epoch   9, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=16.970, TAw acc= 23.5% |
| Epoch  10, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=85.007, TAw acc= 10.8% |
| Epoch  11, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=11.712, TAw acc= 37.5% | *
| Epoch  12, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=12.311, TAw acc= 39.2% |
| Epoch  13, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=12.356, TAw acc= 49.9% |
| Epoch  14, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=15.134, TAw acc= 37.6% |
| Epoch  15, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=32.438, TAw acc= 15.4% |
| Epoch  16, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=10.803, TAw acc= 53.8% | *
| Epoch  17, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=11.646, TAw acc= 52.0% |
| Epoch  18, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=13.336, TAw acc= 46.1% |
| Epoch  19, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=10.936, TAw acc= 55.2% |
| Epoch  20, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=11.581, TAw acc= 48.6% |
| Epoch  21, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=207.820, TAw acc=  8.6% | lr=3.3e-02
| Epoch  22, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=9.236, TAw acc= 65.4% | *
| Epoch  23, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.674, TAw acc= 63.2% |
| Epoch  24, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=18.632, TAw acc= 40.8% |
| Epoch  25, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=11.052, TAw acc= 47.6% |
| Epoch  26, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.787, TAw acc= 61.3% |
| Epoch  27, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=9.203, TAw acc= 61.8% | *
| Epoch  28, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=10.034, TAw acc= 56.5% |
| Epoch  29, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=9.379, TAw acc= 64.2% |
| Epoch  30, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.333, TAw acc= 64.8% |
| Epoch  31, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=9.236, TAw acc= 64.9% |
| Epoch  32, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.453, TAw acc= 60.1% | lr=1.1e-02
| Epoch  33, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.037, TAw acc= 68.0% | *
| Epoch  34, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=9.026, TAw acc= 67.1% | *
| Epoch  35, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.077, TAw acc= 65.8% |
| Epoch  36, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=9.086, TAw acc= 65.3% |
| Epoch  37, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=9.035, TAw acc= 66.9% |
| Epoch  38, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=9.252, TAw acc= 65.1% |
| Epoch  39, time= 10.5s | Train: skip eval | Valid: time=  6.4s loss=8.982, TAw acc= 67.5% | *
| Epoch  40, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.122, TAw acc= 66.6% |
| Epoch  41, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.988, TAw acc= 67.6% |
| Epoch  42, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.952, TAw acc= 68.6% | *
| Epoch  43, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=9.066, TAw acc= 68.0% |
| Epoch  44, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=9.017, TAw acc= 67.1% |
| Epoch  45, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=9.168, TAw acc= 65.8% |
| Epoch  46, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.937, TAw acc= 69.6% | *
| Epoch  47, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.961, TAw acc= 67.5% |
| Epoch  48, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=9.065, TAw acc= 66.9% |
| Epoch  49, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.930, TAw acc= 68.5% | *
| Epoch  50, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.983, TAw acc= 68.6% |
| Epoch  51, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.997, TAw acc= 67.5% |
| Epoch  52, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.940, TAw acc= 67.8% |
| Epoch  53, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.963, TAw acc= 67.5% |
| Epoch  54, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=9.098, TAw acc= 66.1% | lr=3.7e-03
| Epoch  55, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.954, TAw acc= 68.0% |
| Epoch  56, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=8.960, TAw acc= 68.1% |
| Epoch  57, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.922, TAw acc= 67.4% | *
| Epoch  58, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.921, TAw acc= 68.6% | *
| Epoch  59, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.904, TAw acc= 68.2% | *
| Epoch  60, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.901, TAw acc= 68.1% | *
| Epoch  61, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.943, TAw acc= 66.8% |
| Epoch  62, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.927, TAw acc= 67.1% |
| Epoch  63, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=8.942, TAw acc= 68.7% |
| Epoch  64, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.915, TAw acc= 68.1% |
| Epoch  65, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.946, TAw acc= 68.4% | lr=1.2e-03
| Epoch  66, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.903, TAw acc= 67.9% |
| Epoch  67, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.917, TAw acc= 68.1% |
| Epoch  68, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.912, TAw acc= 68.8% |
| Epoch  69, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.910, TAw acc= 68.1% |
| Epoch  70, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.929, TAw acc= 68.7% | lr=4.1e-04
| Epoch  71, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.912, TAw acc= 68.5% |
| Epoch  72, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.924, TAw acc= 68.4% |
| Epoch  73, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.888, TAw acc= 69.1% | *
| Epoch  74, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.942, TAw acc= 67.4% |
| Epoch  75, time= 10.6s | Train: skip eval | Valid: time=  6.3s loss=8.928, TAw acc= 67.9% |
| Epoch  76, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.946, TAw acc= 66.7% |
| Epoch  77, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.936, TAw acc= 67.3% |
| Epoch  78, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.928, TAw acc= 68.1% | lr=1.4e-04
| Epoch  79, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.949, TAw acc= 67.1% |
| Epoch  80, time= 10.5s | Train: skip eval | Valid: time=  6.3s loss=8.949, TAw acc= 67.6% |
| Epoch  81, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=8.957, TAw acc= 67.2% |
| Epoch  82, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.939, TAw acc= 67.5% |
| Epoch  83, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=8.902, TAw acc= 67.8% | lr=4.6e-05
| Selected 3400 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.413 | TAw acc= 55.6%, forg= -0.6%| TAg acc= 47.4%, forg=  7.6% <<<
>>> Test on task  1 : loss=8.782 | TAw acc= 67.1%, forg=  0.0%| TAg acc= 54.9%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=17.790, TAw acc= 43.1% | *
| Epoch   2, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.615, TAw acc= 48.2% | *
| Epoch   3, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=17.513, TAw acc= 45.4% |
| Epoch   4, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.844, TAw acc= 49.3% |
| Epoch   5, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.412, TAw acc= 49.1% | *
| Epoch   6, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=16.766, TAw acc= 54.7% |
| Epoch   7, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=16.324, TAw acc= 53.6% | *
| Epoch   8, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=16.251, TAw acc= 55.1% | *
| Epoch   9, time= 12.1s | Train: skip eval | Valid: time=  6.4s loss=16.253, TAw acc= 56.1% |
| Epoch  10, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=16.203, TAw acc= 56.5% | *
| Epoch  11, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.459, TAw acc= 54.4% |
| Epoch  12, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=16.286, TAw acc= 55.1% |
| Epoch  13, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.274, TAw acc= 54.7% |
| Epoch  14, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=16.549, TAw acc= 55.3% |
| Epoch  15, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=16.333, TAw acc= 56.8% | lr=3.3e-02
| Epoch  16, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.840, TAw acc= 58.8% | *
| Epoch  17, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.808, TAw acc= 58.0% | *
| Epoch  18, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=15.800, TAw acc= 59.3% | *
| Epoch  19, time= 12.2s | Train: skip eval | Valid: time=  6.3s loss=15.862, TAw acc= 59.5% |
| Epoch  20, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.781, TAw acc= 58.7% | *
| Epoch  21, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.783, TAw acc= 60.8% |
| Epoch  22, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.768, TAw acc= 61.3% | *
| Epoch  23, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.762, TAw acc= 60.6% | *
| Epoch  24, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=15.797, TAw acc= 60.2% |
| Epoch  25, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.897, TAw acc= 59.5% |
| Epoch  26, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.799, TAw acc= 58.9% |
| Epoch  27, time= 12.1s | Train: skip eval | Valid: time=  6.2s loss=15.777, TAw acc= 60.5% |
| Epoch  28, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.814, TAw acc= 60.2% | lr=1.1e-02
| Epoch  29, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.696, TAw acc= 60.7% | *
| Epoch  30, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.713, TAw acc= 60.2% |
| Epoch  31, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.697, TAw acc= 60.8% |
| Epoch  32, time= 12.1s | Train: skip eval | Valid: time=  6.4s loss=15.714, TAw acc= 60.7% |
| Epoch  33, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.686, TAw acc= 60.5% | *
| Epoch  34, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.707, TAw acc= 60.6% |
| Epoch  35, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.673, TAw acc= 61.3% | *
| Epoch  36, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.722, TAw acc= 60.6% |
| Epoch  37, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.713, TAw acc= 61.2% |
