Files already downloaded and verified
Files already downloaded and verified
[(0, 13), (1, 13), (2, 13), (3, 13), (4, 12), (5, 12), (6, 12), (7, 12)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  7.8s | Train: skip eval | Valid: time=  6.1s loss=1.136, TAw acc= 62.6% |
| Epoch  57, time=  7.9s | Train: skip eval | Valid: time=  6.0s loss=1.133, TAw acc= 62.2% |
| Epoch  58, time=  8.0s | Train: skip eval | Valid: time=  6.0s loss=1.138, TAw acc= 62.3% |
| Epoch  59, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.126, TAw acc= 62.5% | lr=4.1e-04
| Epoch  60, time=  7.9s | Train: skip eval | Valid: time=  6.0s loss=1.132, TAw acc= 63.7% |
| Epoch  61, time=  8.0s | Train: skip eval | Valid: time=  6.0s loss=1.142, TAw acc= 63.1% |
| Epoch  62, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.123, TAw acc= 63.1% |
| Epoch  63, time=  7.9s | Train: skip eval | Valid: time=  6.0s loss=1.130, TAw acc= 62.9% |
| Epoch  64, time=  7.8s | Train: skip eval | Valid: time=  6.1s loss=1.124, TAw acc= 63.1% | lr=1.4e-04
| Epoch  65, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.134, TAw acc= 62.2% |
| Epoch  66, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.118, TAw acc= 62.8% |
| Epoch  67, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.126, TAw acc= 63.1% |
| Epoch  68, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.123, TAw acc= 63.5% |
| Epoch  69, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.135, TAw acc= 63.2% | lr=4.6e-05
| Selected 1300 train exemplars, time=  0.1s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.136 | TAw acc= 60.8%, forg=  0.0%| TAg acc= 60.8%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  9.4s | Train: skip eval | Valid: time=  6.2s loss=8.027, TAw acc= 48.9% | *
| Epoch   2, time=  9.2s | Train: skip eval | Valid: time=  6.1s loss=8.086, TAw acc= 51.1% |
| Epoch   3, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.752, TAw acc= 56.2% | *
| Epoch   4, time=  9.3s | Train: skip eval | Valid: time=  6.3s loss=7.847, TAw acc= 58.0% |
| Epoch   5, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.452, TAw acc= 58.5% | *
| Epoch   6, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.352, TAw acc= 58.3% | *
| Epoch   7, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.522, TAw acc= 60.6% |
| Epoch   8, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.573, TAw acc= 56.5% |
| Epoch   9, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.132, TAw acc= 63.7% | *
| Epoch  10, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.120, TAw acc= 63.8% | *
| Epoch  11, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.494, TAw acc= 61.2% |
| Epoch  12, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.388, TAw acc= 64.3% |
| Epoch  13, time=  9.3s | Train: skip eval | Valid: time=  6.3s loss=6.968, TAw acc= 67.7% | *
| Epoch  14, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.998, TAw acc= 69.2% |
| Epoch  15, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.963, TAw acc= 64.9% | *
| Epoch  16, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.965, TAw acc= 67.1% |
| Epoch  17, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=7.033, TAw acc= 64.6% |
