Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.357, TAw acc= 57.7% |
| Epoch  57, time=  9.2s | Train: skip eval | Valid: time=  6.2s loss=1.353, TAw acc= 57.2% |
| Epoch  58, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.344, TAw acc= 57.7% |
| Epoch  59, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.352, TAw acc= 57.9% | lr=4.1e-04
| Epoch  60, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.343, TAw acc= 57.7% |
| Epoch  61, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.334, TAw acc= 58.1% | *
| Epoch  62, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.349, TAw acc= 57.2% |
| Epoch  63, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.357, TAw acc= 57.0% |
| Epoch  64, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.361, TAw acc= 57.2% |
| Epoch  65, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 57.6% |
| Epoch  66, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.349, TAw acc= 57.1% | lr=1.4e-04
| Epoch  67, time=  8.9s | Train: skip eval | Valid: time=  6.2s loss=1.352, TAw acc= 57.3% |
| Epoch  68, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.347, TAw acc= 57.7% |
| Epoch  69, time=  9.1s | Train: skip eval | Valid: time=  6.1s loss=1.344, TAw acc= 58.2% |
| Epoch  70, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 57.4% |
| Epoch  71, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.350, TAw acc= 57.3% | lr=4.6e-05
| Selected 2000 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.355 | TAw acc= 56.0%, forg=  0.0%| TAg acc= 56.0%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=12.192, TAw acc= 37.9% | *
| Epoch   2, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=11.119, TAw acc= 46.3% | *
| Epoch   3, time= 11.3s | Train: skip eval | Valid: time=  6.4s loss=11.490, TAw acc= 48.4% |
| Epoch   4, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=10.672, TAw acc= 52.5% | *
| Epoch   5, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=10.622, TAw acc= 52.9% | *
| Epoch   6, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=10.627, TAw acc= 53.6% |
| Epoch   7, time= 11.7s | Train: skip eval | Valid: time=  6.4s loss=10.937, TAw acc= 50.9% |
| Epoch   8, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.468, TAw acc= 56.3% | *
| Epoch   9, time= 11.4s | Train: skip eval | Valid: time=  6.4s loss=10.508, TAw acc= 57.3% |
| Epoch  10, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=11.050, TAw acc= 52.2% |
| Epoch  11, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.353, TAw acc= 56.7% | *
| Epoch  12, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=10.332, TAw acc= 58.2% | *
| Epoch  13, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=10.271, TAw acc= 59.5% | *
| Epoch  14, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.494, TAw acc= 60.3% |
| Epoch  15, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.327, TAw acc= 59.8% |
| Epoch  16, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.353, TAw acc= 59.3% |
| Epoch  17, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=10.898, TAw acc= 58.5% |
| Epoch  18, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=10.335, TAw acc= 58.4% | lr=3.3e-02
| Epoch  19, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.089, TAw acc= 63.1% | *
| Epoch  20, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.103, TAw acc= 61.7% |
| Epoch  21, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=10.024, TAw acc= 62.3% | *
| Epoch  22, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.034, TAw acc= 63.9% |
| Epoch  23, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.049, TAw acc= 61.3% |
| Epoch  24, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=10.039, TAw acc= 60.6% |
| Epoch  25, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=10.002, TAw acc= 63.4% | *
| Epoch  26, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=10.029, TAw acc= 62.6% |
| Epoch  27, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.002, TAw acc= 63.9% | *
| Epoch  28, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.047, TAw acc= 63.4% |
| Epoch  29, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.063, TAw acc= 61.5% |
| Epoch  30, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=10.003, TAw acc= 64.0% |
| Epoch  31, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.104, TAw acc= 62.5% |
| Epoch  32, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=10.083, TAw acc= 64.0% | lr=1.1e-02
| Epoch  33, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.919, TAw acc= 64.5% | *
| Epoch  34, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=9.931, TAw acc= 63.4% |
| Epoch  35, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.907, TAw acc= 64.4% | *
| Epoch  36, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=9.936, TAw acc= 64.7% |
| Epoch  37, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.935, TAw acc= 63.4% |
| Epoch  38, time= 11.4s | Train: skip eval | Valid: time=  6.2s loss=9.926, TAw acc= 64.1% |
| Epoch  39, time= 11.4s | Train: skip eval | Valid: time=  6.3s loss=9.950, TAw acc= 64.6% |
| Epoch  40, time= 11.3s | Train: skip eval | Valid: time=  6.2s loss=9.911, TAw acc= 64.0% | lr=3.7e-03
| Epoch  41, time= 11.3s | Train: skip eval | Valid: time=  6.3s loss=9.917, TAw acc= 64.8% |
| Epoch  42, time= 11.4s | Train: skip eval | Valid: time=  6.4s loss=9.908, TAw acc= 64.5% |
