0.625000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.639000	0.711000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.645000	0.712000	0.743000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.642000	0.703000	0.739000	0.661000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.660000	0.717000	0.753000	0.657000	0.634000	0.000000	0.000000	0.000000	0.000000	0.000000
0.664000	0.732000	0.757000	0.667000	0.657000	0.696000	0.000000	0.000000	0.000000	0.000000
0.653000	0.740000	0.762000	0.657000	0.638000	0.668000	0.588000	0.000000	0.000000	0.000000
0.654000	0.743000	0.775000	0.670000	0.659000	0.678000	0.615000	0.672000	0.000000	0.000000
0.670000	0.749000	0.773000	0.687000	0.680000	0.700000	0.630000	0.676000	0.627000	0.000000
0.664000	0.759000	0.772000	0.684000	0.680000	0.714000	0.641000	0.700000	0.646000	0.685000
